,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
0,10,20,0.6,0.4,0.2,0.2,0.2,0.2,0.6,0.4,0.8,0.6
1,20,20,0.4,0.4,0.2,0.6,0.4,0.2,0.2,0.4,0.0,0.2
2,30,20,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.4,0.4,0.6
3,40,20,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,1.0,0.6
4,50,20,0.8,0.2,0.2,0.2,0.0,0.2,0.2,0.4,0.0,0.0
5,60,20,0.6,0.4,0.6,0.4,0.2,0.4,0.6,0.6,0.6,0.2
6,70,20,0.0,0.4,0.4,0.0,0.0,0.2,0.4,0.4,0.4,0.4
7,80,20,0.6,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.0
8,90,20,0.4,0.2,0.6,0.2,0.4,0.4,0.0,0.2,0.4,0.2
9,100,20,0.2,0.0,0.2,0.4,0.4,0.6,0.2,0.0,0.2,0.0
10,110,20,0.2,0.0,0.0,0.2,0.4,0.2,0.4,0.6,0.0,0.4
11,120,20,0.4,0.2,0.0,0.2,0.0,0.4,0.4,0.4,0.0,0.2
12,130,20,0.4,0.2,0.0,0.2,0.6,0.6,0.2,0.2,0.0,0.2
13,140,20,0.0,0.2,0.8,0.0,0.6,0.2,0.2,0.0,0.2,0.6
14,150,20,0.2,0.6,0.6,0.4,0.2,0.2,0.4,0.2,0.2,0.4
15,160,20,0.2,0.2,0.6,0.2,0.2,0.2,0.6,0.2,0.0,0.0
16,170,20,0.4,0.4,0.2,0.2,0.2,0.0,0.0,0.4,0.2,0.0
17,180,20,0.2,0.2,0.0,0.2,0.4,0.2,0.2,0.2,0.0,0.2
18,190,20,0.4,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.4
19,200,20,0.2,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.6,0.6
20,10,40,0.2,0.2,0.3,0.1,0.4,0.2,0.3,0.2,0.5,0.2
21,20,40,0.4,0.3,0.3,0.5,0.4,0.0,0.4,0.2,0.0,0.1
22,30,40,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.1,0.5,0.3
23,40,40,0.2,0.2,0.4,0.2,0.2,0.5,0.2,0.3,0.0,0.0
24,50,40,0.4,0.1,0.4,0.2,0.1,0.1,0.0,0.2,0.0,0.1
25,60,40,0.2,0.0,0.3,0.0,0.3,0.1,0.1,0.2,0.2,0.2
26,70,40,0.4,0.1,0.2,0.2,0.0,0.0,0.3,0.3,0.1,0.2
27,80,40,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.2
28,90,40,0.1,0.1,0.0,0.0,0.5,0.1,0.0,0.1,0.1,0.0
29,100,40,0.0,0.3,0.1,0.0,0.1,0.0,0.3,0.2,0.2,0.0
30,110,40,0.1,0.1,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.3
31,120,40,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
32,130,40,0.2,0.0,0.0,0.1,0.0,0.3,0.2,0.1,0.0,0.0
33,140,40,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2
34,150,40,0.1,0.1,0.0,0.0,0.0,0.1,0.3,0.2,0.0,0.1
35,160,40,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.1
36,170,40,0.1,0.3,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0
37,180,40,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
38,190,40,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
39,200,40,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.4,0.0,0.0
40,10,60,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.6,0.13333333333333333,0.13333333333333333,0.3333333333333333
41,20,60,0.2,0.3333333333333333,0.2,0.0,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.2
42,30,60,0.06666666666666667,0.2,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.06666666666666667
43,40,60,0.2,0.26666666666666666,0.06666666666666667,0.2,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0
44,50,60,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,0.4666666666666667,0.13333333333333333
45,60,60,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333
46,70,60,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.2,0.13333333333333333,0.0
47,80,60,0.0,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.06666666666666667
48,90,60,0.13333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.2,0.2,0.2,0.2,0.13333333333333333,0.06666666666666667
49,100,60,0.13333333333333333,0.2,0.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333
50,110,60,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.2
51,120,60,0.13333333333333333,0.0,0.0,0.13333333333333333,0.2,0.06666666666666667,0.0,0.2,0.06666666666666667,0.0
52,130,60,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
53,140,60,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0
54,150,60,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0
55,160,60,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
56,170,60,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
57,180,60,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
58,190,60,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667
59,200,60,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667
60,10,80,0.15,0.25,0.2,0.25,0.15,0.1,0.3,0.15,0.2,0.4
61,20,80,0.1,0.25,0.1,0.25,0.15,0.0,0.25,0.1,0.2,0.15
62,30,80,0.3,0.05,0.1,0.2,0.05,0.1,0.25,0.15,0.05,0.1
63,40,80,0.2,0.15,0.15,0.1,0.0,0.2,0.15,0.05,0.2,0.15
64,50,80,0.2,0.1,0.15,0.1,0.15,0.15,0.0,0.05,0.15,0.1
65,60,80,0.1,0.2,0.1,0.05,0.2,0.15,0.1,0.0,0.3,0.2
66,70,80,0.05,0.25,0.15,0.05,0.25,0.2,0.25,0.05,0.3,0.1
67,80,80,0.3,0.15,0.15,0.1,0.2,0.15,0.05,0.1,0.15,0.05
68,90,80,0.1,0.1,0.1,0.15,0.15,0.2,0.05,0.15,0.15,0.1
69,100,80,0.1,0.05,0.1,0.0,0.2,0.35,0.05,0.25,0.15,0.1
70,110,80,0.3,0.1,0.05,0.25,0.15,0.1,0.1,0.05,0.1,0.05
71,120,80,0.1,0.15,0.05,0.15,0.25,0.0,0.1,0.1,0.15,0.15
72,130,80,0.1,0.2,0.1,0.05,0.15,0.1,0.05,0.05,0.1,0.1
73,140,80,0.15,0.0,0.15,0.1,0.15,0.15,0.15,0.15,0.15,0.1
74,150,80,0.15,0.15,0.05,0.15,0.25,0.15,0.15,0.1,0.0,0.15
75,160,80,0.15,0.05,0.1,0.1,0.1,0.05,0.1,0.05,0.1,0.15
76,170,80,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.0,0.1
77,180,80,0.2,0.05,0.15,0.05,0.05,0.15,0.1,0.15,0.15,0.1
78,190,80,0.05,0.05,0.15,0.15,0.05,0.15,0.05,0.15,0.1,0.1
79,200,80,0.1,0.1,0.05,0.05,0.1,0.15,0.05,0.05,0.2,0.05
80,10,100,0.24,0.08,0.12,0.24,0.16,0.12,0.08,0.2,0.28,0.28
81,20,100,0.12,0.32,0.2,0.08,0.16,0.12,0.12,0.16,0.2,0.32
82,30,100,0.16,0.24,0.04,0.12,0.2,0.12,0.2,0.16,0.16,0.24
83,40,100,0.16,0.24,0.12,0.08,0.12,0.12,0.08,0.16,0.16,0.04
84,50,100,0.16,0.2,0.0,0.16,0.04,0.0,0.04,0.08,0.12,0.08
85,60,100,0.16,0.08,0.16,0.12,0.16,0.12,0.04,0.16,0.12,0.08
86,70,100,0.12,0.16,0.16,0.16,0.12,0.12,0.04,0.08,0.08,0.08
87,80,100,0.12,0.08,0.12,0.12,0.04,0.08,0.04,0.16,0.16,0.2
88,90,100,0.08,0.0,0.08,0.0,0.2,0.08,0.2,0.2,0.16,0.04
89,100,100,0.0,0.12,0.12,0.12,0.08,0.12,0.16,0.04,0.12,0.12
90,110,100,0.12,0.08,0.08,0.04,0.08,0.08,0.08,0.16,0.0,0.08
91,120,100,0.12,0.16,0.12,0.04,0.2,0.08,0.08,0.04,0.12,0.2
92,130,100,0.08,0.12,0.0,0.04,0.12,0.12,0.12,0.0,0.04,0.0
93,140,100,0.2,0.04,0.08,0.04,0.08,0.16,0.0,0.04,0.0,0.04
94,150,100,0.08,0.08,0.0,0.04,0.12,0.12,0.16,0.0,0.08,0.12
95,160,100,0.04,0.08,0.08,0.04,0.12,0.08,0.0,0.04,0.08,0.08
96,170,100,0.08,0.0,0.16,0.12,0.12,0.2,0.04,0.08,0.24,0.04
97,180,100,0.08,0.08,0.12,0.04,0.08,0.16,0.12,0.12,0.12,0.04
98,190,100,0.12,0.16,0.08,0.16,0.08,0.08,0.08,0.12,0.16,0.08
99,200,100,0.08,0.16,0.08,0.12,0.0,0.12,0.08,0.08,0.2,0.08
100,10,120,0.23333333333333334,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.2
101,20,120,0.03333333333333333,0.16666666666666666,0.2,0.06666666666666667,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.1
102,30,120,0.03333333333333333,0.1,0.1,0.13333333333333333,0.1,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
103,40,120,0.06666666666666667,0.1,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.1,0.03333333333333333,0.1,0.1
104,50,120,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.1,0.1
105,60,120,0.1,0.1,0.16666666666666666,0.06666666666666667,0.1,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.03333333333333333
106,70,120,0.06666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.06666666666666667
107,80,120,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.1,0.1,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.1
108,90,120,0.1,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1
109,100,120,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333
110,110,120,0.03333333333333333,0.0,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667
111,120,120,0.1,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.1,0.03333333333333333,0.0,0.13333333333333333,0.1
112,130,120,0.1,0.06666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.16666666666666666,0.06666666666666667,0.1,0.13333333333333333,0.06666666666666667
113,140,120,0.1,0.03333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.1,0.1,0.03333333333333333,0.06666666666666667,0.06666666666666667
114,150,120,0.03333333333333333,0.06666666666666667,0.1,0.03333333333333333,0.03333333333333333,0.0,0.1,0.03333333333333333,0.13333333333333333,0.13333333333333333
115,160,120,0.13333333333333333,0.1,0.0,0.1,0.1,0.1,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667
116,170,120,0.03333333333333333,0.1,0.13333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.1,0.06666666666666667,0.03333333333333333
117,180,120,0.06666666666666667,0.1,0.03333333333333333,0.0,0.1,0.1,0.16666666666666666,0.06666666666666667,0.1,0.1
118,190,120,0.06666666666666667,0.1,0.1,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.1,0.03333333333333333
119,200,120,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.06666666666666667
120,10,140,0.11428571428571428,0.22857142857142856,0.05714285714285714,0.05714285714285714,0.2571428571428571,0.17142857142857143,0.17142857142857143,0.14285714285714285,0.2571428571428571,0.11428571428571428
121,20,140,0.11428571428571428,0.08571428571428572,0.14285714285714285,0.05714285714285714,0.2,0.05714285714285714,0.2,0.14285714285714285,0.08571428571428572,0.14285714285714285
122,30,140,0.08571428571428572,0.05714285714285714,0.17142857142857143,0.11428571428571428,0.08571428571428572,0.11428571428571428,0.08571428571428572,0.11428571428571428,0.2,0.14285714285714285
123,40,140,0.14285714285714285,0.05714285714285714,0.14285714285714285,0.08571428571428572,0.02857142857142857,0.08571428571428572,0.11428571428571428,0.11428571428571428,0.02857142857142857,0.11428571428571428
124,50,140,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.05714285714285714
125,60,140,0.05714285714285714,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.14285714285714285,0.08571428571428572,0.14285714285714285,0.08571428571428572
126,70,140,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
127,80,140,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.14285714285714285,0.2,0.08571428571428572,0.14285714285714285,0.08571428571428572
128,90,140,0.05714285714285714,0.17142857142857143,0.08571428571428572,0.02857142857142857,0.05714285714285714,0.17142857142857143,0.08571428571428572,0.17142857142857143,0.02857142857142857,0.05714285714285714
129,100,140,0.11428571428571428,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.08571428571428572,0.08571428571428572
130,110,140,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.17142857142857143
131,120,140,0.02857142857142857,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.2,0.14285714285714285,0.05714285714285714
132,130,140,0.17142857142857143,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.2,0.05714285714285714,0.08571428571428572
133,140,140,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.14285714285714285,0.14285714285714285,0.17142857142857143,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.14285714285714285
134,150,140,0.11428571428571428,0.11428571428571428,0.0,0.08571428571428572,0.08571428571428572,0.14285714285714285,0.08571428571428572,0.14285714285714285,0.05714285714285714,0.08571428571428572
135,160,140,0.11428571428571428,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.17142857142857143,0.05714285714285714
136,170,140,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.22857142857142856,0.11428571428571428
