,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
0,10,100,0.12,0.0,0.16,0.12,0.16,0.04,0.12,0.12,0.12,0.08
1,20,100,0.04,0.08,0.0,0.08,0.12,0.0,0.0,0.12,0.16,0.08
2,30,100,0.12,0.08,0.12,0.2,0.08,0.16,0.12,0.12,0.16,0.12
3,40,100,0.08,0.04,0.04,0.2,0.2,0.08,0.12,0.04,0.04,0.04
4,50,100,0.08,0.08,0.08,0.12,0.2,0.04,0.16,0.16,0.12,0.12
5,60,100,0.16,0.12,0.12,0.08,0.08,0.12,0.16,0.0,0.12,0.08
6,70,100,0.16,0.08,0.12,0.08,0.04,0.2,0.08,0.08,0.04,0.0
7,80,100,0.08,0.12,0.04,0.12,0.04,0.08,0.08,0.04,0.08,0.16
8,90,100,0.04,0.12,0.04,0.04,0.08,0.12,0.04,0.0,0.08,0.08
9,100,100,0.08,0.0,0.0,0.04,0.2,0.12,0.2,0.04,0.12,0.0
10,110,100,0.12,0.16,0.0,0.2,0.16,0.12,0.04,0.08,0.04,0.28
11,120,100,0.08,0.12,0.12,0.08,0.12,0.12,0.2,0.0,0.04,0.12
12,130,100,0.0,0.08,0.08,0.08,0.08,0.16,0.08,0.08,0.0,0.08
13,140,100,0.04,0.24,0.12,0.04,0.16,0.0,0.08,0.08,0.12,0.12
14,150,100,0.0,0.08,0.16,0.16,0.08,0.08,0.08,0.12,0.12,0.04
15,160,100,0.08,0.04,0.04,0.2,0.16,0.08,0.08,0.08,0.08,0.0
16,170,100,0.04,0.04,0.08,0.08,0.16,0.08,0.12,0.08,0.04,0.12
17,180,100,0.08,0.0,0.04,0.08,0.04,0.08,0.08,0.12,0.12,0.04
18,190,100,0.12,0.12,0.12,0.08,0.04,0.04,0.12,0.16,0.24,0.04
19,200,100,0.12,0.12,0.08,0.04,0.12,0.08,0.08,0.12,0.12,0.12
20,10,200,0.24,0.12,0.12,0.12,0.12,0.12,0.16,0.12,0.1,0.14
21,20,200,0.14,0.16,0.12,0.1,0.08,0.12,0.16,0.12,0.12,0.06
22,30,200,0.08,0.1,0.06,0.08,0.1,0.1,0.06,0.06,0.08,0.16
23,40,200,0.08,0.14,0.14,0.12,0.06,0.08,0.1,0.06,0.1,0.16
