,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
0,10,20,0.0,0.2,0.6,0.0,0.4,0.2,0.0,0.4,0.4,0.0
1,20,20,0.0,0.6,0.6,0.2,0.6,0.2,0.2,0.2,0.6,0.6
2,30,20,0.0,0.4,0.0,0.0,0.6,0.2,0.4,0.6,0.0,0.6
3,40,20,0.2,0.0,0.0,0.2,0.4,0.4,0.2,0.4,0.0,0.0
4,50,20,0.4,0.0,0.0,0.2,0.4,0.6,0.2,0.4,0.0,0.6
5,60,20,0.0,0.4,0.0,0.6,0.4,0.0,0.0,0.6,0.4,0.0
6,70,20,0.0,0.6,0.4,0.0,0.2,0.4,0.0,0.0,0.4,0.2
7,80,20,0.4,0.6,0.2,0.2,0.6,0.0,0.6,0.2,0.0,0.0
8,90,20,0.4,0.0,0.2,0.4,0.2,0.2,0.2,0.0,0.6,0.0
9,100,20,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.2,0.2,0.2
10,110,20,0.6,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0
11,120,20,0.4,0.0,0.4,0.2,0.0,0.2,0.2,0.2,0.0,0.0
12,130,20,0.0,0.2,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.6
13,140,20,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.6
14,150,20,0.0,0.2,0.6,0.0,0.6,0.2,0.0,0.2,0.0,0.0
15,160,20,0.0,0.6,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0.6
16,170,20,0.0,0.4,0.0,0.0,0.6,0.0,0.6,0.6,0.4,0.0
17,180,20,0.0,0.6,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0
18,190,20,0.4,0.0,0.2,0.2,0.4,0.0,0.4,0.4,0.0,0.2
19,200,20,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.6,0.6
20,10,40,0.1,0.2,0.3,0.4,0.2,0.2,0.3,0.1,0.2,0.2
21,20,40,0.1,0.2,0.3,0.4,0.1,0.0,0.2,0.2,0.2,0.1
22,30,40,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.1
23,40,40,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.0
24,50,40,0.1,0.2,0.2,0.3,0.0,0.2,0.0,0.2,0.1,0.2
25,60,40,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
26,70,40,0.1,0.2,0.2,0.4,0.1,0.0,0.3,0.3,0.3,0.3
27,80,40,0.2,0.5,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.3
28,90,40,0.2,0.0,0.2,0.1,0.2,0.0,0.1,0.0,0.2,0.0
29,100,40,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.3,0.1
30,110,40,0.1,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.2
31,120,40,0.4,0.1,0.3,0.0,0.2,0.2,0.0,0.0,0.2,0.4
32,130,40,0.2,0.2,0.1,0.1,0.1,0.4,0.0,0.0,0.0,0.1
33,140,40,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1
34,150,40,0.2,0.2,0.2,0.0,0.1,0.0,0.3,0.3,0.1,0.0
35,160,40,0.4,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.2
36,170,40,0.3,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0
37,180,40,0.1,0.2,0.0,0.1,0.0,0.1,0.1,0.3,0.0,0.1
38,190,40,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.1
39,200,40,0.0,0.3,0.0,0.0,0.0,0.3,0.2,0.2,0.1,0.0
40,10,60,0.3333333333333333,0.13333333333333333,0.2,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666
41,20,60,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2
42,30,60,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.0,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
43,40,60,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.0,0.2,0.06666666666666667,0.0
44,50,60,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333
45,60,60,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
46,70,60,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
47,80,60,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666
48,90,60,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333
49,100,60,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.2
50,110,60,0.13333333333333333,0.0,0.13333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333
51,120,60,0.0,0.0,0.0,0.26666666666666666,0.0,0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.26666666666666666
52,130,60,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0
53,140,60,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
54,150,60,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667
55,160,60,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333
56,170,60,0.13333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.0,0.2,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333
57,180,60,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
58,190,60,0.13333333333333333,0.0,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333
59,200,60,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667
60,10,80,0.15,0.05,0.05,0.2,0.05,0.2,0.15,0.1,0.1,0.1
61,20,80,0.15,0.05,0.15,0.2,0.05,0.1,0.1,0.0,0.15,0.05
62,30,80,0.1,0.1,0.1,0.05,0.05,0.1,0.05,0.15,0.05,0.05
63,40,80,0.1,0.1,0.1,0.1,0.25,0.05,0.1,0.15,0.1,0.25
64,50,80,0.1,0.05,0.15,0.15,0.2,0.15,0.15,0.1,0.05,0.15
65,60,80,0.25,0.15,0.15,0.05,0.2,0.1,0.15,0.1,0.15,0.2
66,70,80,0.05,0.1,0.1,0.05,0.1,0.05,0.15,0.25,0.1,0.2
67,80,80,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.15,0.05,0.1
68,90,80,0.0,0.05,0.1,0.15,0.1,0.1,0.1,0.1,0.15,0.1
69,100,80,0.1,0.1,0.2,0.05,0.05,0.15,0.1,0.1,0.1,0.05
70,110,80,0.25,0.1,0.1,0.15,0.1,0.1,0.2,0.05,0.1,0.05
71,120,80,0.05,0.15,0.05,0.05,0.1,0.1,0.1,0.15,0.1,0.1
72,130,80,0.05,0.2,0.05,0.1,0.15,0.05,0.0,0.15,0.15,0.1
73,140,80,0.05,0.05,0.1,0.1,0.1,0.15,0.05,0.15,0.1,0.2
74,150,80,0.05,0.05,0.05,0.15,0.25,0.15,0.1,0.1,0.05,0.1
75,160,80,0.05,0.15,0.1,0.1,0.15,0.15,0.05,0.15,0.1,0.15
